word,phonetic,definition_zh,definition_en,example,tags,audio_file
extinguisher,ɪk'stɪŋɡwɪʃɚ,n  灭火器； 灭火者,a fire extinguisher,Check the expiry date for all foam extinguisher.,sholvoir;ielts;exam;core,
cooperation,"ko,ɑpə'reʃən",n  合作， 协作； 配合,when you work with someone to achieve something that you both want,the need to strengthen international co-operation,sholvoir;ielts;exam;core,
timid,'tɪmɪd,adj  胆小的； 羞怯的,not having courage or confidence,I was a timid child.,sholvoir;ielts;exam;core,
propose,prə'poz,v  提议， 建议； 提名， 推荐； 打算； 求婚,to suggest something as a plan or course of action,the changes currently proposed by the local planning authorities,sholvoir;ielts;exam;core,
fallow,'fælo,adj  休耕的； 休闲的,fallow land is dug or  ploughed  but is not used for growing crops,They let the land lie fallow for a year.,sholvoir;ielts;exam;core,
renewable,rɪ'nuəbl,adj  可更新的， 可再生的， 可恢复的； 可延长有效期的， 可续期的,"if an agreement or official document is renewable, you can make it continue for a further period of time after it ends",It’s a six-month lease but it’s renewable.,sholvoir;ielts;exam;core,
malevolent,mə'lɛvələnt,adj  有恶意的； 恶毒的,a malevolent person wants to harm other people,"Her stare was malevolent, her mouth a thin line.",sholvoir;ielts;exam;core,
ensue,ɪn'su,vi  继而发生； 接着发生,to happen after or as a result of something,"If the Europeans did not reduce subsidies, a trade war would ensue.",sholvoir;ielts;exam;core,
foreseeable,fɔr'siəbl,adj  可预知的， 能预测的,"foreseeable difficulties, events etc should be planned for because they are very likely to happen in the future",The judge found that it was not foreseeable that the fuel would catch fire.,sholvoir;ielts;exam;core,
coach,kotʃ,n 教练；指导；长途汽车; vt  训练； 辅导,someone who trains a person or team in a sport; to teach a person or team the skills they need for a sport,a tennis coach,sholvoir;ielts;exam;core,
pine,paɪn,v 难过，,to become sad and not continue your life as normal because someone has died or gone away,"Six months after he left, she was still pining.",sholvoir;ielts;exam;core,
carousel,'kærə'sɛl,n  行李式传送带,the moving belt that you collect your bags from at an airport,,sholvoir;ielts;exam;core,
irony,'aɪrəni,n  反话， 讽刺； 出人意料的事情,"a situation that is unusual or amusing because something strange happens, or the opposite of what is expected happens or is true",Life is full of little ironies.,sholvoir;ielts;exam;core,
scrap,skræp,n 碎屑; vt  废弃； 抛弃,"a small piece of paper, cloth etc; to decide not to use a plan or system because it is not practical",a rug made out of old scraps of material,sholvoir;ielts;exam;core,
conjunction,kən'dʒʌŋkʃən,n  连接； 连词,"a word such as ‘and’, ‘but’, or ‘because’ which joins parts of a sentence",,sholvoir;ielts;exam;core,
cameral,'kæmərəl,adj  院的,of or relating to a judicial or legislative chamber ,,sholvoir;ielts;exam;core,
meadow,'mɛdo,n  草地,a field with wild grass and flowers,Lambs gamboled in the meadow.,sholvoir;ielts;exam;core,
roast,rost,adj 烤过的; v  烤， 炙; n 烤肉,"roasted; to cook something, such as meat, in an  oven  or over a fire, or to cook in this way; a large piece of roasted meat",roast chicken,sholvoir;ielts;exam;core,
succession,sək'sɛʃən,n  连续； 接替， 继承,happening one after the other without anything diffe-rent happening in between,She won the championship four times in succession.,sholvoir;ielts;exam;core,
haul,hɔl,vt  用力拖； 搬运,to pull something heavy with a continuous steady movement,the steam locomotive which hauled the train,sholvoir;ielts;exam;core,
energetic,",ɛnɚ'dʒɛtɪk",adj  有力的， 精力旺盛的； 积极的,having or needing a lot of energy or determination,an energetic man,sholvoir;ielts;exam;core,
avail,ə'vel,vt 有帮助，有益，,,,sholvoir;ielts;exam;core,
wastage,'westɪdʒ,n  消耗量； 损耗； 减员,"when something is lost or destroyed, especially in a way that is not useful or reasonable, or the amount that is lost or destroyed",The system used to result in a great deal of food wastage.,sholvoir;ielts;exam;core,
impoverish,ɪm'pɑvərɪʃ,vt  使贫困； 使枯竭， 使贫瘠,to make someone very poor,Falling coffee prices have impoverished many developing economies.,sholvoir;ielts;exam;core,
calibre,'kælibə,n  质量， 才干， 能力； 口径,the level of quality or ability that someone or something has achieved,The school attracts a high calibre of student.,sholvoir;ielts;exam;core,
premier,prɪ'mɪr,adj  首要的， 第一位的； 最著名的; n 总理；首相,best or most important; a  prime minister  – used in news reports,one of Dublin’s premier hotels,sholvoir;ielts;exam;core,
hallowed,'hælod,adj  受崇敬的； 神圣的,holy or made holy by religious practices,The bones will be buried in hallowed ground.,sholvoir;ielts;exam;core,
intellectual,",ɪntə'lɛktʃuəl",adj  智力的； 理智的; n 知识分子,"relating to the ability to understand things and think intelligently; an intelligent, well-educated person who spends time thinking about complicated ideas and discussing them",Mark’s very intellectual.,sholvoir;ielts;exam;core,
reclaim,rɪ'klem,vt  纠正； 要求归还， 收回； 开垦,to get back an amount of money that you have paid,You may be entitled to reclaim some tax.,sholvoir;ielts;exam;core,
allergic,ə'lɝdʒɪk,n  过敏的， 变态反应的， 变应性的,,,sholvoir;ielts;exam;core,
cheat,tʃit,v 欺骗；作弊; n  欺骗； 骗子,"to behave in a dishonest way in order to win or to get an advantage, especially in a competition, game, or examination; someone who is dishonest and cheats",He had cheated in the test by using a calculator.,sholvoir;ielts;exam;core,
disable,dɪs'ebl,vt  使丧失能力， 使伤残； 使不能正常运转， 使无效,to make someone unable to use a part of their body properly,Carter was permanently disabled in the war.,sholvoir;ielts;exam;core,
undoubtedly,ʌn'daʊtɪdli,adv  毋庸置疑地， 确凿地,,,sholvoir;ielts;exam;core,
