word,phonetic,definition_zh,definition_en,example,tags,audio_file
bookstore,/ˈbʊkstɔː/,,A store where books are bought and sold.,,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/bookstore.wav
boring,/ˈbɔːɹɪŋ/,,To inspire boredom in somebody.,,cefr-j;a1;starter;cefr:a1;pos:verb,resource-packs/cefr-j-a1-starter-2026-06-18/audio/boring.mp3
borrow,/ˈbɑɹoʊ/,,Deviation of the path of a rolling ball from a straight line; slope; slant.,This putt has a big left-to right borrow on it.,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/borrow.mp3
both,/boʊθ/,,"Each of the two, or of the two kinds.","""Did you want this one or that one?"" — ""Give me both.""",cefr-j;a1;starter;cefr:a1;pos:pronoun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/both.mp3
bottle,/ˈbɒ.təl/,,"A container, typically made of glass or plastic and having a tapered neck, used primarily for holding liquids.",Beer is often sold in bottles.,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/bottle.mp3
bottom,/ˈbɑtəm/,,The lowest part of anything.,Footers appear at the bottoms of pages.,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/bottom.mp3
bowl,/boʊɫ/,,"A roughly hemispherical container used to hold, mix or present food, such as salad, fruit or soup, or other items.",,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/bowl.mp3
box,/bɑks/,,Senses relating to a three-dimensional object or space.,,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/box.mp3
boy,/bɔːə/,,A young male.,Kate is dating a boy named Jim.,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/boy.mp3
boyfriend,/ˈbɔɪfɹənd/,,A male partner in an unmarried romantic relationship.,,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/boyfriend.mp3
brain,/bɹeɪn/,,"The control center of the central nervous system of an animal located in the skull which is responsible for perception, cognition, attention, memory, emotion, and action.",,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/brain.mp3
bread,/bɹɛd/,,A foodstuff made by baking dough made from cereals.,,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/bread.mp3
break,/bɹeɪk/,,An instance of breaking something into two or more pieces.,The femur has a clean break and so should heal easily.,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/break.mp3
breakfast,/ˈbɹɛkfəst/,,"The first meal of the day, usually eaten in the morning.",You should put more protein in her breakfast so she will grow.,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/breakfast.mp3
breathe,/bɹið/,,"To draw air into (inhale), and expel air from (exhale), the lungs in order to extract oxygen and excrete waste gases.",,cefr-j;a1;starter;cefr:a1;pos:verb,resource-packs/cefr-j-a1-starter-2026-06-18/audio/breathe.mp3
bridge,/bɹɪd͡ʒ/,,A construction or natural feature that spans a divide.,,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/bridge.mp3
bright,/bɹaɪt/,,"An artist's brush used in oil and acrylic painting with a long ferrule and a flat, somewhat tapering bristle head.",,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/bright.mp3
bring,/ˈbɹɪŋ/,,(ditransitive) To transport toward somebody/somewhere.,"Waiter, please bring me a single malt whiskey.",cefr-j;a1;starter;cefr:a1;pos:verb,resource-packs/cefr-j-a1-starter-2026-06-18/audio/bring.mp3
broken,/ˈbɹəʊkən/,,"To separate into two or more pieces, to fracture or crack, by a process that cannot easily be reversed for reassembly.","If the vase falls to the floor, it might break.",cefr-j;a1;starter;cefr:a1;pos:verb,resource-packs/cefr-j-a1-starter-2026-06-18/audio/broken.mp3
brother,/ˈbɹʌðɚ/,,Son of the same parents as another person.,,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/brother.mp3
brown,/bɹaʊn/,,A colour like that of chocolate or coffee.,The browns and greens in this painting give it a nice woodsy feel.,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/brown.mp3
brush,/bɹʌʃ/,,"An implement consisting of multiple more or less flexible bristles or other filaments attached to a handle, used for any of various purposes including cleaning, painting, and arranging hair.",,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/brush.mp3
bucket,/ˈbʌkɪt/,,"A container made of rigid material, often with a handle, used to carry liquids or small items.",I need a bucket to carry the water from the well.,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/bucket.mp3
build,/bɪld/,,The physique of a human body; constitution or structure of a human body.,Rugby players are of sturdy build.,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/build.mp3
building,/ˈbɪl.dɪŋ/,,The act or process by which something is built; construction.,The building of the bridge will be completed in a couple of weeks.,cefr-j;a1;starter;cefr:a1;pos:noun,resource-packs/cefr-j-a1-starter-2026-06-18/audio/building.mp3
